attribute	bit	cloudflare-workers-microfrontends	commercetools-frontend	edge-side-composition	entando	hyperfrontend	iframe-composition	import-map-architectures	islands-architecture	luigi	micro-app-jd	modular-monolith	module-federation	monorepo-package-composition	native-federation	nextjs-multi-zones	opencomponents	picard-js	piral	plain-spa-routing	podium	qiankun	reverse-proxy-route-composition	server-rendered-templates	server-side-fragment-composition	single-spa	web-components-composition	web-fragments	wujie	zephyr-cloud
unit.type.adoptable-implementation	y	y	y	n	y	y	n	n	n	y	y	n	y	n	y	y	y	y	y	n	y	y	n	n	n	y	n	y	y	y
unit.availability.installable-today	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
unit.availability.stable-line-shipped	y	n	c	-	y	n	-	-	-	y	n	-	y	-	c	y	n	n	y	-	y	c	-	-	-	y	-	n	y	y
unit.availability.single-current-line	y	y	y	-	y	y	-	-	y	y	n	-	c	-	y	y	y	y	c	-	y	n	-	-	-	n	-	y	y	y
unit.availability.planned-capability-claims	n	n	n	n	n	y	n	n	n	n	n	n	y	n	n	n	n	y	y	n	n	c	n	n	n	n	n	y	n	y
unit.maintenance.release-within-12mo	y	y	y	c	y	y	y	y	y	y	y	-	y	-	y	y	y	n	y	-	y	c	c	-	y	n	y	y	y	y
unit.maintenance.commit-within-6mo	y	y	y	c	y	y	y	y	y	y	y	-	y	-	y	y	y	n	y	-	y	y	c	-	y	n	y	c	y	y
unit.maintenance.multi-maintainer	y	y	?	-	?	n	y	y	c	y	?	-	y	-	y	y	n	n	?	-	?	?	-	-	y	n	y	?	n	y
unit.maintenance.org-steward	y	y	y	y	y	n	y	y	c	y	y	-	y	-	c	y	y	c	y	-	y	y	y	-	y	n	y	c	y	y
unit.maintenance.adoption-outside-sponsor	?	?	?	?	?	?	y	y	y	?	y	-	y	-	?	y	?	?	?	-	?	y	y	-	y	y	y	?	y	?
unit.maintenance.adoption-scale-10k	n	c	-	-	-	?	-	c	-	n	n	-	y	-	y	y	y	n	y	-	n	y	-	-	-	y	-	y	n	y
unit.license.osi-core	y	c	n	c	y	y	-	-	y	y	y	-	y	-	y	c	y	y	y	-	y	y	y	-	y	y	-	y	y	c
unit.editions.commercial-tier	y	y	y	y	y	c	n	n	n	n	n	n	n	n	n	y	n	n	y	n	n	n	y	n	n	n	n	n	n	y
unit.editions.oss-self-sufficient	c	n	-	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	n
hosting.operator	y	y	y	c	n	n	-	n	-	n	n	-	n	-	n	y	n	n	y	-	n	n	c	-	-	n	-	n	n	y
hosting.control-plane	c	n	n	c	y	y	-	y	-	y	y	-	y	-	y	c	y	y	y	-	y	y	c	-	-	y	-	y	y	n
